,country,food_category,total_consumption,total_co2_emission,states
0,Albania,Beef,22.5,694.3,Europe
1,Albania,Eggs,12.45,11.44,Europe
2,Albania,Fish,3.85,6.15,Europe
3,Albania,Lamb & Goat,15.32,536.5,Europe
4,Albania,Milk - inc. cheese,303.72,432.62,Europe
5,Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72,Europe
6,Albania,Pork,10.88,38.51,Europe
7,Albania,Poultry,13.23,14.21,Europe
8,Albania,Rice,7.78,9.96,Europe
9,Albania,Soybeans,0.0,0.0,Europe
10,Albania,Wheat and Wheat Products,138.64,26.44,Europe
11,Algeria,Beef,5.6,172.8,Africa
12,Algeria,Eggs,8.06,7.4,Africa
13,Algeria,Fish,3.74,5.970000000000001,Africa
14,Algeria,Lamb & Goat,7.689999999999999,269.3,Africa
15,Algeria,Milk - inc. cheese,141.53,201.6,Africa
16,Algeria,Nuts inc. Peanut Butter,2.08,3.68,Africa
17,Algeria,Pork,0.0,0.0,Africa
18,Algeria,Poultry,7.42,7.970000000000001,Africa
19,Algeria,Rice,2.97,3.8,Africa
20,Algeria,Soybeans,0.0,0.0,Africa
21,Algeria,Wheat and Wheat Products,185.42,35.36,Africa
22,Angola,Beef,8.42,259.82,Africa
23,Angola,Eggs,1.11,1.02,Africa
24,Angola,Fish,15.239999999999998,24.33,Africa
25,Angola,Lamb & Goat,1.08,37.82,Africa
26,Angola,Milk - inc. cheese,12.3,17.52,Africa
27,Angola,Nuts inc. Peanut Butter,2.26,4.0,Africa
28,Angola,Pork,8.89,31.47,Africa
29,Angola,Poultry,17.330000000000002,18.62,Africa
30,Angola,Rice,8.12,10.39,Africa
31,Angola,Soybeans,0.52,0.23,Africa
32,Angola,Wheat and Wheat Products,40.720000000000006,7.77,Africa
33,Argentina,Beef,55.48,1712.0,South America
34,Argentina,Eggs,11.39,10.46,South America
35,Argentina,Fish,4.359999999999999,6.96,South America
36,Argentina,Lamb & Goat,1.56,54.63,South America
37,Argentina,Milk - inc. cheese,195.08,277.87,South America
38,Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001,South America
39,Argentina,Pork,10.51,37.2,South America
40,Argentina,Poultry,38.66,41.53,South America
41,Argentina,Rice,8.77,11.22,South America
42,Argentina,Soybeans,0.0,0.0,South America
43,Argentina,Wheat and Wheat Products,103.11,19.66,South America
44,Armenia,Beef,19.66,606.6700000000001,Asia
45,Armenia,Eggs,11.69,10.739999999999998,Asia
46,Armenia,Fish,4.359999999999999,6.96,Asia
47,Armenia,Lamb & Goat,3.02,105.76,Asia
48,Armenia,Milk - inc. cheese,209.03,297.74,Asia
49,Armenia,Nuts inc. Peanut Butter,2.55,4.51,Asia
50,Armenia,Pork,9.67,34.230000000000004,Asia
51,Armenia,Poultry,13.35,14.34,Asia
52,Armenia,Rice,3.18,4.07,Asia
53,Armenia,Soybeans,0.0,0.0,Asia
54,Armenia,Wheat and Wheat Products,130.6,24.91,Asia
55,Australia,Beef,33.86,1044.85,Oceania
56,Australia,Eggs,8.51,7.819999999999999,Oceania
57,Australia,Fish,17.69,28.25,Oceania
58,Australia,Lamb & Goat,9.87,345.65000000000003,Oceania
59,Australia,Milk - inc. cheese,234.49,334.01,Oceania
60,Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45,Oceania
61,Australia,Pork,24.14,85.44000000000001,Oceania
62,Australia,Poultry,46.120000000000005,49.54,Oceania
63,Australia,Rice,11.03,14.12,Oceania
64,Australia,Soybeans,0.19,0.09,Oceania
65,Australia,Wheat and Wheat Products,70.46000000000001,13.44,Oceania
66,Austria,Beef,17.14,528.9,Europe
67,Austria,Eggs,14.68,13.49,Europe
68,Austria,Fish,12.16,19.42,Europe
69,Austria,Lamb & Goat,1.16,40.620000000000005,Europe
70,Austria,Milk - inc. cheese,258.09,367.62,Europe
71,Austria,Nuts inc. Peanut Butter,7.88,13.95,Europe
72,Austria,Pork,52.56,186.04,Europe
73,Austria,Poultry,18.610000000000003,19.99,Europe
74,Austria,Rice,3.7,4.73,Europe
75,Austria,Soybeans,2.06,0.93,Europe
76,Austria,Wheat and Wheat Products,81.1,15.47,Europe
77,Bahamas,Beef,19.92,614.69,North America
78,Bahamas,Eggs,6.2,5.7,North America
79,Bahamas,Fish,18.8,30.02,North America
80,Bahamas,Lamb & Goat,5.22,182.8,North America
81,Bahamas,Milk - inc. cheese,104.76,149.22,North America
82,Bahamas,Nuts inc. Peanut Butter,4.03,7.13,North America
83,Bahamas,Pork,32.74,115.88,North America
84,Bahamas,Poultry,45.74,49.13,North America
85,Bahamas,Rice,23.97,30.67,North America
86,Bahamas,Soybeans,0.09,0.04,North America
87,Bahamas,Wheat and Wheat Products,39.98,7.619999999999999,North America
88,Bangladesh,Beef,1.28,39.5,Asia
89,Bangladesh,Eggs,2.08,1.91,Asia
90,Bangladesh,Fish,18.07,28.85,Asia
91,Bangladesh,Lamb & Goat,1.33,46.58,Asia
92,Bangladesh,Milk - inc. cheese,21.91,31.21,Asia
93,Bangladesh,Nuts inc. Peanut Butter,0.72,1.27,Asia
94,Bangladesh,Pork,0.0,0.0,Asia
95,Bangladesh,Poultry,1.4,1.5,Asia
96,Bangladesh,Rice,171.73,219.76,Asia
97,Bangladesh,Soybeans,0.61,0.27,Asia
98,Bangladesh,Wheat and Wheat Products,17.47,3.33,Asia
99,Barbados,Beef,13.13,405.16,North America
100,Barbados,Eggs,9.61,8.83,North America
101,Barbados,Fish,37.41,59.73,North America
102,Barbados,Lamb & Goat,4.08,142.88000000000002,North America
103,Barbados,Milk - inc. cheese,110.48,157.37,North America
104,Barbados,Nuts inc. Peanut Butter,4.159999999999999,7.359999999999999,North America
105,Barbados,Pork,8.3,29.38,North America
106,Barbados,Poultry,42.620000000000005,45.78,North America
107,Barbados,Rice,15.66,20.04,North America
108,Barbados,Soybeans,0.1,0.05,North America
109,Barbados,Wheat and Wheat Products,65.71000000000001,12.53,North America
110,Belarus,Beef,17.110000000000003,527.98,Europe
111,Belarus,Eggs,15.86,14.57,Europe
112,Belarus,Fish,15.75,25.15,Europe
113,Belarus,Lamb & Goat,0.11,3.85,Europe
114,Belarus,Milk - inc. cheese,133.73,190.49,Europe
115,Belarus,Nuts inc. Peanut Butter,3.36,5.95,Europe
116,Belarus,Pork,40.37,142.89,Europe
117,Belarus,Poultry,31.29,33.61,Europe
118,Belarus,Rice,3.17,4.06,Europe
119,Belarus,Soybeans,0.3,0.14,Europe
120,Belarus,Wheat and Wheat Products,60.48,11.53,Europe
121,Belgium,Beef,15.63,482.31,Europe
122,Belgium,Eggs,12.59,11.57,Europe
123,Belgium,Fish,18.97,30.29,Europe
124,Belgium,Lamb & Goat,1.32,46.23,Europe
125,Belgium,Milk - inc. cheese,236.19,336.42999999999995,Europe
126,Belgium,Nuts inc. Peanut Butter,7.319999999999999,12.96,Europe
127,Belgium,Pork,38.65,136.8,Europe
128,Belgium,Poultry,12.2,13.11,Europe
129,Belgium,Rice,8.61,11.02,Europe
130,Belgium,Soybeans,0.07,0.03,Europe
131,Belgium,Wheat and Wheat Products,111.91,21.34,Europe
132,Belize,Beef,4.859999999999999,149.97,North America
133,Belize,Eggs,4.85,4.46,North America
134,Belize,Fish,7.57,12.09,North America
135,Belize,Lamb & Goat,0.14,4.9,North America
136,Belize,Milk - inc. cheese,80.3,114.38,North America
137,Belize,Nuts inc. Peanut Butter,5.58,9.88,North America
138,Belize,Pork,16.8,59.46,North America
139,Belize,Poultry,28.31,30.41,North America
140,Belize,Rice,28.42,36.37,North America
141,Belize,Soybeans,1.88,0.8500000000000001,North America
142,Belize,Wheat and Wheat Products,54.06,10.31,North America
143,Bermuda,Beef,33.15,1022.94,North America
144,Bermuda,Eggs,14.92,13.71,North America
145,Bermuda,Fish,33.220000000000006,53.04,North America
146,Bermuda,Lamb & Goat,2.71,94.9,North America
147,Bermuda,Milk - inc. cheese,95.56,136.12,North America
148,Bermuda,Nuts inc. Peanut Butter,5.72,10.12,North America
149,Bermuda,Pork,28.24,99.96,North America
150,Bermuda,Poultry,32.620000000000005,35.04,North America
151,Bermuda,Rice,5.38,6.88,North America
152,Bermuda,Soybeans,0.22,0.1,North America
153,Bermuda,Wheat and Wheat Products,54.88,10.47,North America
154,Bolivia,Beef,19.78,610.37,South America
155,Bolivia,Eggs,5.18,4.76,South America
156,Bolivia,Fish,2.18,3.48,South America
157,Bolivia,Lamb & Goat,1.72,60.23,South America
158,Bolivia,Milk - inc. cheese,46.04,65.58,South America
159,Bolivia,Nuts inc. Peanut Butter,9.16,16.21,South America
160,Bolivia,Pork,8.89,31.47,South America
161,Bolivia,Poultry,34.309999999999995,36.86,South America
162,Bolivia,Rice,26.99,34.54,South America
163,Bolivia,Soybeans,0.01,0.0,South America
164,Bolivia,Wheat and Wheat Products,49.99,9.53,South America
165,Bosnia and Herzegovina,Beef,9.12,281.42,Europe
166,Bosnia and Herzegovina,Eggs,4.49,4.119999999999999,Europe
167,Bosnia and Herzegovina,Fish,4.06,6.48,Europe
168,Bosnia and Herzegovina,Lamb & Goat,0.47,16.459999999999997,Europe
169,Bosnia and Herzegovina,Milk - inc. cheese,174.03,247.89,Europe
170,Bosnia and Herzegovina,Nuts inc. Peanut Butter,2.0,3.54,Europe
171,Bosnia and Herzegovina,Pork,9.38,33.2,Europe
172,Bosnia and Herzegovina,Poultry,13.17,14.15,Europe
173,Bosnia and Herzegovina,Rice,1.88,2.41,Europe
174,Bosnia and Herzegovina,Soybeans,1.48,0.6699999999999999,Europe
175,Bosnia and Herzegovina,Wheat and Wheat Products,93.56,17.84,Europe
176,Botswana,Beef,7.85,242.23,Africa
177,Botswana,Eggs,1.95,1.79,Africa
178,Botswana,Fish,3.98,6.35,Africa
179,Botswana,Lamb & Goat,3.76,131.67,Africa
180,Botswana,Milk - inc. cheese,117.74,167.70999999999998,Africa
181,Botswana,Nuts inc. Peanut Butter,1.08,1.91,Africa
182,Botswana,Pork,0.74,2.62,Africa
183,Botswana,Poultry,5.33,5.73,Africa
184,Botswana,Rice,7.06,9.03,Africa
185,Botswana,Soybeans,1.16,0.52,Africa
186,Botswana,Wheat and Wheat Products,38.2,7.28,Africa
187,Brazil,Beef,39.25,1211.1699999999998,South America
188,Brazil,Eggs,8.98,8.25,South America
189,Brazil,Fish,10.01,15.98,South America
190,Brazil,Lamb & Goat,0.62,21.71,South America
191,Brazil,Milk - inc. cheese,149.28,212.63,South America
192,Brazil,Nuts inc. Peanut Butter,0.6699999999999999,1.1900000000000002,South America
193,Brazil,Pork,12.6,44.6,South America
194,Brazil,Poultry,45.0,48.34,South America
195,Brazil,Rice,32.13,41.120000000000005,South America
196,Brazil,Soybeans,3.62,1.63,South America
197,Brazil,Wheat and Wheat Products,53.0,10.11,South America
198,Bulgaria,Beef,3.84,118.49,Europe
199,Bulgaria,Eggs,8.360000000000001,7.68,Europe
200,Bulgaria,Fish,6.24,9.96,Europe
201,Bulgaria,Lamb & Goat,1.63,57.08,Europe
202,Bulgaria,Milk - inc. cheese,155.70999999999998,221.79,Europe
203,Bulgaria,Nuts inc. Peanut Butter,2.26,4.0,Europe
204,Bulgaria,Pork,26.26,92.95,Europe
205,Bulgaria,Poultry,20.68,22.21,Europe
206,Bulgaria,Rice,2.24,2.87,Europe
207,Bulgaria,Soybeans,0.04,0.02,Europe
208,Bulgaria,Wheat and Wheat Products,121.17,23.110000000000003,Europe
209,Cambodia,Beef,4.85,149.66,Asia
210,Cambodia,Eggs,1.37,1.26,Asia
211,Cambodia,Fish,39.59,63.21,Asia
212,Cambodia,Lamb & Goat,0.0,0.0,Asia
213,Cambodia,Milk - inc. cheese,3.47,4.94,Asia
214,Cambodia,Nuts inc. Peanut Butter,1.25,2.21,Asia
215,Cambodia,Pork,6.52,23.08,Asia
216,Cambodia,Poultry,1.84,1.98,Asia
217,Cambodia,Rice,159.1,203.6,Asia
218,Cambodia,Soybeans,4.33,1.95,Asia
219,Cambodia,Wheat and Wheat Products,2.74,0.52,Asia
220,Cameroon,Beef,4.17,128.68,Africa
221,Cameroon,Eggs,0.4,0.37,Africa
222,Cameroon,Fish,14.71,23.49,Africa
223,Cameroon,Lamb & Goat,1.4,49.03,Africa
224,Cameroon,Milk - inc. cheese,15.27,21.75,Africa
225,Cameroon,Nuts inc. Peanut Butter,9.29,16.439999999999998,Africa
226,Cameroon,Pork,1.47,5.2,Africa
227,Cameroon,Poultry,3.29,3.53,Africa
228,Cameroon,Rice,23.85,30.52,Africa
229,Cameroon,Soybeans,0.64,0.29,Africa
230,Cameroon,Wheat and Wheat Products,22.6,4.31,Africa
231,Canada,Beef,30.25,933.45,North America
232,Canada,Eggs,12.95,11.9,North America
233,Canada,Fish,14.56,23.25,North America
234,Canada,Lamb & Goat,0.97,33.97,North America
235,Canada,Milk - inc. cheese,187.77,267.46,North America
236,Canada,Nuts inc. Peanut Butter,8.01,14.18,North America
237,Canada,Pork,22.81,80.74000000000001,North America
238,Canada,Poultry,36.68,39.4,North America
239,Canada,Rice,12.65,16.19,North America
240,Canada,Soybeans,0.94,0.42,North America
241,Canada,Wheat and Wheat Products,84.96000000000001,16.2,North America
242,Chile,Beef,23.86,736.2700000000001,South America
243,Chile,Eggs,9.97,9.16,South America
244,Chile,Fish,7.649999999999999,12.21,South America
245,Chile,Lamb & Goat,0.42,14.71,South America
246,Chile,Milk - inc. cheese,116.11,165.39,South America
247,Chile,Nuts inc. Peanut Butter,2.22,3.93,South America
248,Chile,Pork,24.68,87.35,South America
249,Chile,Poultry,36.52,39.23,South America
250,Chile,Rice,8.850000000000001,11.33,South America
251,Chile,Soybeans,0.04,0.02,South America
252,Chile,Wheat and Wheat Products,104.74,19.97,South America
253,China,Beef,5.119999999999999,157.99,Asia
254,China,Eggs,18.76,17.23,Asia
255,China,Fish,21.01,33.55,Asia
256,China,Lamb & Goat,3.13,109.61,Asia
257,China,Milk - inc. cheese,32.660000000000004,46.52,Asia
258,China,Nuts inc. Peanut Butter,6.39,11.31,Asia
259,China,Pork,38.43,136.02,Asia
260,China,Poultry,13.2,14.18,Asia
261,China,Rice,78.17999999999999,100.05,Asia
262,China,Soybeans,3.66,1.65,Asia
263,China,Wheat and Wheat Products,63.36,12.08,Asia
264,Colombia,Beef,16.36,504.84,South America
265,Colombia,Eggs,10.78,9.9,South America
266,Colombia,Fish,6.01,9.6,South America
267,Colombia,Lamb & Goat,0.21,7.35,South America
268,Colombia,Milk - inc. cheese,108.47,154.5,South America
269,Colombia,Nuts inc. Peanut Butter,0.42,0.74,South America
270,Colombia,Pork,6.51,23.04,South America
271,Colombia,Poultry,27.57,29.62,South America
272,Colombia,Rice,28.02,35.86,South America
273,Colombia,Soybeans,0.89,0.4,South America
274,Colombia,Wheat and Wheat Products,29.79,5.68,South America
275,Congo,Beef,4.35,134.23,Africa
276,Congo,Eggs,0.6,0.55,Africa
277,Congo,Fish,26.22,41.86,Africa
278,Congo,Lamb & Goat,0.4,14.01,Africa
279,Congo,Milk - inc. cheese,10.69,15.23,Africa
280,Congo,Nuts inc. Peanut Butter,3.08,5.45,Africa
281,Congo,Pork,2.39,8.46,Africa
282,Congo,Poultry,13.02,13.99,Africa
283,Congo,Rice,16.51,21.130000000000003,Africa
284,Congo,Soybeans,0.0,0.0,Africa
285,Congo,Wheat and Wheat Products,40.07,7.64,Africa
286,Costa Rica,Beef,15.23,469.97,North America
287,Costa Rica,Eggs,10.55,9.69,North America
288,Costa Rica,Fish,11.32,18.07,North America
289,Costa Rica,Lamb & Goat,0.02,0.7,North America
290,Costa Rica,Milk - inc. cheese,183.28,261.06,North America
291,Costa Rica,Nuts inc. Peanut Butter,1.38,2.44,North America
292,Costa Rica,Pork,10.28,36.39,North America
293,Costa Rica,Poultry,24.47,26.29,North America
294,Costa Rica,Rice,45.690000000000005,58.47,North America
295,Costa Rica,Soybeans,1.54,0.69,North America
296,Costa Rica,Wheat and Wheat Products,39.31,7.5,North America
297,Croatia,Beef,12.41,382.95,Europe
298,Croatia,Eggs,8.48,7.79,Europe
299,Croatia,Fish,15.83,25.28,Europe
300,Croatia,Lamb & Goat,1.71,59.88,Europe
301,Croatia,Milk - inc. cheese,231.02,329.06,Europe
302,Croatia,Nuts inc. Peanut Butter,3.88,6.87,Europe
303,Croatia,Pork,42.790000000000006,151.46,Europe
304,Croatia,Poultry,8.52,9.15,Europe
305,Croatia,Rice,2.64,3.38,Europe
306,Croatia,Soybeans,0.0,0.0,Europe
307,Croatia,Wheat and Wheat Products,106.59,20.33,Europe
308,Cuba,Beef,6.39,197.18,North America
309,Cuba,Eggs,9.82,9.02,North America
310,Cuba,Fish,4.76,7.6,North America
311,Cuba,Lamb & Goat,1.24,43.42,North America
312,Cuba,Milk - inc. cheese,99.94,142.35000000000002,North America
313,Cuba,Nuts inc. Peanut Butter,0.23,0.41,North America
314,Cuba,Pork,19.82,70.14999999999999,North America
315,Cuba,Poultry,20.15,21.65,North America
316,Cuba,Rice,67.7,86.64,North America
317,Cuba,Soybeans,6.34,2.85,North America
318,Cuba,Wheat and Wheat Products,54.620000000000005,10.42,North America
319,Cyprus,Beef,5.79,178.67,Asia
320,Cyprus,Eggs,8.98,8.25,Asia
321,Cyprus,Fish,14.86,23.73,Asia
322,Cyprus,Lamb & Goat,5.05,176.85000000000002,Asia
323,Cyprus,Milk - inc. cheese,113.31,161.4,Asia
324,Cyprus,Nuts inc. Peanut Butter,4.6,8.139999999999999,Asia
325,Cyprus,Pork,38.38,135.85000000000002,Asia
326,Cyprus,Poultry,24.45,26.26,Asia
327,Cyprus,Rice,4.94,6.319999999999999,Asia
328,Cyprus,Soybeans,0.04,0.02,Asia
329,Cyprus,Wheat and Wheat Products,83.25,15.88,Asia
330,Czech Republic,Beef,8.15,251.49,Europe
331,Czech Republic,Eggs,11.66,10.71,Europe
332,Czech Republic,Fish,8.25,13.17,Europe
333,Czech Republic,Lamb & Goat,0.3399999999999999,11.91,Europe
334,Czech Republic,Milk - inc. cheese,195.2,278.04,Europe
335,Czech Republic,Nuts inc. Peanut Butter,2.47,4.37,Europe
336,Czech Republic,Pork,41.17,145.72,Europe
337,Czech Republic,Poultry,19.09,20.51,Europe
338,Czech Republic,Rice,4.79,6.13,Europe
339,Czech Republic,Soybeans,0.8200000000000001,0.37,Europe
340,Czech Republic,Wheat and Wheat Products,92.67,17.67,Europe
341,Denmark,Beef,28.46,878.22,Europe
342,Denmark,Eggs,15.35,14.1,Europe
343,Denmark,Fish,16.49,26.33,Europe
344,Denmark,Lamb & Goat,0.92,32.220000000000006,Europe
345,Denmark,Milk - inc. cheese,277.3,394.99,Europe
346,Denmark,Nuts inc. Peanut Butter,5.94,10.51,Europe
347,Denmark,Pork,24.87,88.03,Europe
348,Denmark,Poultry,26.75,28.73,Europe
349,Denmark,Rice,4.96,6.35,Europe
350,Denmark,Soybeans,0.03,0.01,Europe
351,Denmark,Wheat and Wheat Products,98.0,18.69,Europe
352,Ecuador,Beef,16.610000000000003,512.55,South America
353,Ecuador,Eggs,8.01,7.359999999999999,South America
354,Ecuador,Fish,5.17,8.25,South America
355,Ecuador,Lamb & Goat,0.44,15.41,South America
356,Ecuador,Milk - inc. cheese,139.6,198.85,South America
357,Ecuador,Nuts inc. Peanut Butter,0.98,1.73,South America
358,Ecuador,Pork,14.44,51.11,South America
359,Ecuador,Poultry,21.85,23.47,South America
360,Ecuador,Rice,45.07,57.68,South America
361,Ecuador,Soybeans,0.0,0.0,South America
362,Ecuador,Wheat and Wheat Products,39.190000000000005,7.470000000000001,South America
363,Egypt,Beef,12.88,397.45,Africa
364,Egypt,Eggs,4.59,4.22,Africa
365,Egypt,Fish,21.46,34.260000000000005,Africa
366,Egypt,Lamb & Goat,1.58,55.33,Africa
367,Egypt,Milk - inc. cheese,59.46,84.69,Africa
368,Egypt,Nuts inc. Peanut Butter,1.82,3.22,Africa
369,Egypt,Pork,0.02,0.07,Africa
370,Egypt,Poultry,14.43,15.5,Africa
371,Egypt,Rice,39.77,50.89,Africa
372,Egypt,Soybeans,0.64,0.29,Africa
373,Egypt,Wheat and Wheat Products,146.83,28.0,Africa
374,El Salvador,Beef,5.95,183.6,North America
375,El Salvador,Eggs,9.51,8.739999999999998,North America
376,El Salvador,Fish,6.25,9.98,North America
377,El Salvador,Lamb & Goat,0.02,0.7,North America
378,El Salvador,Milk - inc. cheese,124.34,177.11,North America
379,El Salvador,Nuts inc. Peanut Butter,1.1,1.95,North America
380,El Salvador,Pork,3.23,11.43,North America
381,El Salvador,Poultry,19.84,21.31,North America
382,El Salvador,Rice,10.53,13.48,North America
383,El Salvador,Soybeans,0.8,0.36,North America
384,El Salvador,Wheat and Wheat Products,28.19,5.38,North America
385,Estonia,Beef,7.19,221.87,Europe
386,Estonia,Eggs,12.66,11.63,Europe
387,Estonia,Fish,12.78,20.41,Europe
388,Estonia,Lamb & Goat,0.44,15.41,Europe
389,Estonia,Milk - inc. cheese,284.85,405.74,Europe
390,Estonia,Nuts inc. Peanut Butter,4.29,7.59,Europe
391,Estonia,Pork,29.68,105.05,Europe
392,Estonia,Poultry,21.110000000000003,22.68,Europe
393,Estonia,Rice,2.56,3.28,Europe
394,Estonia,Soybeans,0.04,0.02,Europe
395,Estonia,Wheat and Wheat Products,89.36,17.04,Europe
396,Ethiopia,Beef,3.61,111.4,Africa
397,Ethiopia,Eggs,0.36,0.3299999999999999,Africa
398,Ethiopia,Fish,0.24,0.38,Africa
399,Ethiopia,Lamb & Goat,1.57,54.98,Africa
400,Ethiopia,Milk - inc. cheese,44.14,62.87,Africa
401,Ethiopia,Nuts inc. Peanut Butter,1.21,2.14,Africa
402,Ethiopia,Pork,0.02,0.07,Africa
403,Ethiopia,Poultry,0.6599999999999999,0.71,Africa
404,Ethiopia,Rice,2.25,2.88,Africa
405,Ethiopia,Soybeans,0.45,0.2,Africa
406,Ethiopia,Wheat and Wheat Products,31.26,5.96,Africa
407,Fiji,Beef,8.96,276.48999999999995,Oceania
408,Fiji,Eggs,6.44,5.92,Oceania
409,Fiji,Fish,35.01,55.9,Oceania
410,Fiji,Lamb & Goat,5.9,206.62,Oceania
411,Fiji,Milk - inc. cheese,40.2,57.260000000000005,Oceania
412,Fiji,Nuts inc. Peanut Butter,1.3,2.3,Oceania
413,Fiji,Pork,4.31,15.26,Oceania
414,Fiji,Poultry,20.26,21.76,Oceania
415,Fiji,Rice,45.620000000000005,58.38,Oceania
416,Fiji,Soybeans,0.3,0.14,Oceania
417,Fiji,Wheat and Wheat Products,84.22,16.06,Oceania
418,Finland,Beef,19.22,593.09,Europe
419,Finland,Eggs,9.55,8.77,Europe
420,Finland,Fish,33.8,53.97,Europe
421,Finland,Lamb & Goat,0.53,18.56,Europe
422,Finland,Milk - inc. cheese,430.76,613.57,Europe
423,Finland,Nuts inc. Peanut Butter,3.43,6.07,Europe
424,Finland,Pork,36.14,127.92,Europe
425,Finland,Poultry,19.87,21.34,Europe
426,Finland,Rice,4.42,5.659999999999999,Europe
427,Finland,Soybeans,0.08,0.04,Europe
428,Finland,Wheat and Wheat Products,81.99000000000001,15.64,Europe
429,France,Beef,23.81,734.73,Europe
430,France,Eggs,13.13,12.06,Europe
431,France,Fish,22.91,36.58,Europe
432,France,Lamb & Goat,3.28,114.87,Europe
433,France,Milk - inc. cheese,241.31,343.72,Europe
434,France,Nuts inc. Peanut Butter,5.39,9.54,Europe
435,France,Pork,33.05,116.98,Europe
436,France,Poultry,22.93,24.630000000000003,Europe
437,France,Rice,4.88,6.24,Europe
438,France,Soybeans,0.05,0.02,Europe
439,France,Wheat and Wheat Products,108.43,20.68,Europe
440,French Polynesia,Beef,30.9,953.51,Oceania
441,French Polynesia,Eggs,8.75,8.04,Oceania
442,French Polynesia,Fish,38.95,62.190000000000005,Oceania
443,French Polynesia,Lamb & Goat,2.83,99.11,Oceania
444,French Polynesia,Milk - inc. cheese,93.56,133.26999999999998,Oceania
445,French Polynesia,Nuts inc. Peanut Butter,2.34,4.14,Oceania
446,French Polynesia,Pork,14.75,52.21,Oceania
447,French Polynesia,Poultry,49.55,53.23,Oceania
448,French Polynesia,Rice,35.59,45.54,Oceania
449,French Polynesia,Soybeans,0.77,0.35,Oceania
450,French Polynesia,Wheat and Wheat Products,68.66999999999999,13.1,Oceania
451,Gambia,Beef,2.16,66.64999999999999,Africa
452,Gambia,Eggs,0.99,0.91,Africa
453,Gambia,Fish,23.130000000000003,36.93,Africa
454,Gambia,Lamb & Goat,0.71,24.86,Africa
455,Gambia,Milk - inc. cheese,45.71,65.11,Africa
456,Gambia,Nuts inc. Peanut Butter,5.2700000000000005,9.33,Africa
457,Gambia,Pork,0.18,0.64,Africa
458,Gambia,Poultry,2.66,2.86,Africa
459,Gambia,Rice,61.84,79.14,Africa
460,Gambia,Soybeans,0.0,0.0,Africa
461,Gambia,Wheat and Wheat Products,37.91,7.23,Africa
462,Georgia,Beef,6.04,186.38,Asia
463,Georgia,Eggs,6.119999999999999,5.619999999999999,Asia
464,Georgia,Fish,10.42,16.64,Asia
465,Georgia,Lamb & Goat,0.63,22.06,Asia
466,Georgia,Milk - inc. cheese,149.26,212.61,Asia
467,Georgia,Nuts inc. Peanut Butter,2.47,4.37,Asia
